---------------------------------
391:  30:15.264   00:04.064
390:  30:11.200   00:03.681
389:  30:07.519   00:04.091
388:  30:03.428   00:07.659
387:  29:55.769   00:03.243
386:  29:52.526   00:01.745
385:  29:50.781   00:07.287
384:  29:43.494   00:02.861
383:  29:40.633   00:02.392
382:  29:38.241   00:05.139
381:  29:33.102   00:02.690
380:  29:30.412   00:02.508
379:  29:27.904   00:03.467
378:  29:24.437   00:02.051
377:  29:22.386   00:04.029
376:  29:18.357   00:02.192
375:  29:16.165   00:01.958
374:  29:14.207   00:03.800
373:  29:10.407   00:01.810
372:  29:08.597   00:00.417
371:  29:08.180   00:12.854
370:  28:55.326   00:04.065
369:  28:51.261   00:01.434
368:  28:49.827   00:08.126
367:  28:41.701   00:07.910
366:  28:33.791   00:00.620
365:  28:33.171   00:01.129
364:  28:32.042   00:11.549
363:  28:20.493   00:01.400
362:  28:19.093   00:04.486
361:  28:14.607   00:11.597
360:  28:03.010   00:00.769
359:  28:02.241   00:00.994
358:  28:01.247   00:07.617
357:  27:53.630   00:18.586
356:  27:35.044   00:05.681
355:  27:29.363   00:07.739
354:  27:21.624   00:01.445
353:  27:20.179   00:07.876
352:  27:12.303   00:03.313
351:  27:08.990   00:00.637
350:  27:08.353   00:00.559
349:  27:07.794   00:05.089
348:  27:02.705   00:07.381
347:  26:55.324   00:03.902
346:  26:51.422   00:03.901
345:  26:47.521   00:06.589
344:  26:40.932   00:00.950
343:  26:39.982   00:05.805
342:  26:34.177   00:04.306
341:  26:29.871   00:10.799
340:  26:19.072   00:00.336
339:  26:18.736   00:01.825
338:  26:16.911   00:01.752
337:  26:15.159   00:24.753
336:  25:50.406   00:06.341
335:  25:44.065   00:00.660
334:  25:43.405   00:00.798
333:  25:42.607   00:01.297
332:  25:41.310   00:06.548
331:  25:34.762   00:08.087
330:  25:26.675   00:04.600
329:  25:22.075   00:01.548
328:  25:20.527   00:06.440
327:  25:14.087   00:00.817
326:  25:13.270   00:18.707
325:  24:54.563   00:06.364
324:  24:48.199   00:04.527
323:  24:43.672   00:00.563
322:  24:43.109   00:00.645
321:  24:42.464   00:02.722
320:  24:39.742   00:01.477
319:  24:38.265   00:03.871
318:  24:34.394   00:00.805
317:  24:33.589   00:03.401
316:  24:30.188   00:03.960
315:  24:26.228   00:07.988
314:  24:18.240   00:00.944
313:  24:17.296   00:04.648
312:  24:12.648   00:01.717
311:  24:10.931   00:04.173
310:  24:06.758   00:01.190
309:  24:05.568   00:16.322
308:  23:49.246   00:00.751
307:  23:48.495   00:00.415
306:  23:48.080   00:01.639
305:  23:46.441   00:02.270
304:  23:44.171   00:00.340
303:  23:43.831   00:00.493
302:  23:43.338   00:11.542
301:  23:31.796   00:02.237
300:  23:29.559   00:00.554
299:  23:29.005   00:04.990
298:  23:24.015   00:14.364
297:  23:09.651   00:04.265
296:  23:05.386   00:12.457
295:  22:52.929   00:01.383
294:  22:51.546   00:05.841
293:  22:45.705   00:00.325
292:  22:45.380   00:00.339
291:  22:45.041   00:03.973
290:  22:41.068   00:00.496
289:  22:40.572   00:00.956
288:  22:39.616   00:00.807
287:  22:38.809   00:03.485
286:  22:35.324   00:23.429
285:  22:11.895   00:00.665
284:  22:11.230   00:00.755
283:  22:10.475   00:14.376
282:  21:56.099   00:08.908
281:  21:47.191   00:00.476
280:  21:46.715   00:07.545
279:  21:39.170   00:09.681
278:  21:29.489   00:03.923
277:  21:25.566   00:03.717
276:  21:21.849   00:10.336
275:  21:11.513   00:03.445
274:  21:08.068   00:04.576
273:  21:03.492   00:01.362
272:  21:02.130   00:00.338
271:  21:01.792   00:01.148
270:  21:00.644   00:04.388
269:  20:56.256   00:08.278
268:  20:47.978   00:05.392
267:  20:42.586   00:09.571
266:  20:33.015   00:00.637
265:  20:32.378   00:03.618
264:  20:28.760   00:02.409
263:  20:26.351   00:04.891
262:  20:21.460   00:01.132
261:  20:20.328   00:00.533
260:  20:19.795   00:01.185
259:  20:18.610   00:03.413
258:  20:15.197   00:02.554
257:  20:12.643   00:06.938
256:  20:05.705   00:03.853
255:  20:01.852   00:03.000
254:  19:58.852   00:05.089
253:  19:53.763   00:01.439
252:  19:52.324   00:00.502
251:  19:51.822   00:01.551
250:  19:50.271   00:03.474
249:  19:46.797   00:00.207
248:  19:46.590   00:06.341
247:  19:40.249   00:01.735
246:  19:38.514   00:08.262
245:  19:30.252   00:04.407
244:  19:25.845   00:06.585
243:  19:19.260   00:01.026
242:  19:18.234   00:00.657
241:  19:17.577   00:04.828
240:  19:12.749   00:01.574
239:  19:11.175   00:00.488
238:  19:10.687   00:03.478
237:  19:07.209   00:04.656
236:  19:02.553   00:16.697
235:  18:45.856   00:00.400
234:  18:45.456   00:01.093
233:  18:44.363   00:07.383
232:  18:36.980   00:23.859
231:  18:13.121   00:01.595
230:  18:11.526   00:15.264
229:  17:56.262   00:00.239
228:  17:56.023   00:05.963
227:  17:50.060   00:02.903
226:  17:47.157   00:04.084
225:  17:43.073   00:01.491
224:  17:41.582   00:04.188
223:  17:37.394   00:01.551
222:  17:35.843   00:00.963
221:  17:34.880   00:10.864
220:  17:24.016   00:01.011
219:  17:23.005   00:01.721
218:  17:21.284   00:06.060
217:  17:15.224   00:01.229
216:  17:13.995   00:00.780
215:  17:13.215   00:03.017
214:  17:10.198   00:06.019
213:  17:04.179   00:16.126
212:  16:48.053   00:03.556
211:  16:44.497   00:05.074
210:  16:39.423   00:01.539
209:  16:37.884   00:00.822
208:  16:37.062   00:02.242
207:  16:34.820   00:00.718
206:  16:34.102   00:00.918
205:  16:33.184   00:05.030
204:  16:28.154   00:03.391
203:  16:24.763   00:01.965
202:  16:22.798   00:00.254
201:  16:22.544   00:04.030
200:  16:18.514   00:01.528
199:  16:16.986   00:13.831
198:  16:03.155   00:04.537
197:  15:58.618   00:01.276
196:  15:57.342   00:01.390
195:  15:55.952   00:00.663
194:  15:55.289   00:05.079
193:  15:50.210   00:01.267
192:  15:48.943   00:01.890
191:  15:47.053   00:02.090
190:  15:44.963   00:01.883
189:  15:43.080   00:13.856
188:  15:29.224   00:11.165
187:  15:18.059   00:11.716
186:  15:06.343   00:09.257
185:  14:57.086   00:02.113
184:  14:54.973   00:02.824
183:  14:52.149   00:02.241
182:  14:49.908   00:00.374
181:  14:49.534   00:03.290
180:  14:46.244   00:02.137
179:  14:44.107   00:02.199
178:  14:41.908   00:04.509
177:  14:37.399   00:02.130
176:  14:35.269   00:07.214
175:  14:28.055   00:06.221
174:  14:21.834   00:04.407
173:  14:17.427   00:01.871
172:  14:15.556   00:01.725
171:  14:13.831   00:09.745
170:  14:04.086   00:01.592
169:  14:02.494   00:06.726
168:  13:55.768   00:30.193
167:  13:25.575   00:04.876
166:  13:20.699   00:07.484
165:  13:13.215   00:07.715
164:  13:05.500   00:03.374
163:  13:02.126   00:01.097
162:  13:01.029   00:01.018
161:  13:00.011   00:01.677
160:  12:58.334   00:03.454
159:  12:54.880   00:01.525
158:  12:53.355   00:02.246
157:  12:51.109   00:05.045
156:  12:46.064   00:02.951
155:  12:43.113   00:03.119
154:  12:39.994   00:04.713
153:  12:35.281   00:02.956
152:  12:32.325   00:02.770
151:  12:29.555   00:01.988
150:  12:27.567   00:03.776
149:  12:23.791   00:03.276
148:  12:20.515   00:07.842
147:  12:12.673   00:00.733
146:  12:11.940   00:04.282
145:  12:07.658   00:11.106
144:  11:56.552   00:02.702
143:  11:53.850   00:00.835
142:  11:53.015   00:00.421
141:  11:52.594   00:11.296
140:  11:41.298   00:05.749
139:  11:35.549   00:01.441
138:  11:34.108   00:08.963
137:  11:25.145   00:00.764
136:  11:24.381   00:00.987
135:  11:23.394   00:05.212
134:  11:18.182   00:00.820
133:  11:17.362   00:01.187
132:  11:16.175   00:02.341
131:  11:13.834   00:01.579
130:  11:12.255   00:09.655
129:  11:02.600   00:04.541
128:  10:58.059   00:02.266
127:  10:55.793   00:05.420
126:  10:50.373   00:07.277
125:  10:43.096   00:05.475
124:  10:37.621   00:11.298
123:  10:26.323   00:18.796
122:  10:07.527   00:05.479
121:  10:02.048   00:02.429
120:  09:59.619   00:04.395
119:  09:55.224   00:04.497
118:  09:50.727   00:01.946
117:  09:48.781   00:06.305
116:  09:42.476   00:02.190
115:  09:40.286   00:02.928
114:  09:37.358   00:00.344
113:  09:37.014   00:08.301
112:  09:28.713   00:16.962
111:  09:11.751   00:05.739
110:  09:06.012   00:10.987
109:  08:55.025   00:00.062
108:  08:54.963   00:09.486
107:  08:45.477   00:03.168
106:  08:42.309   00:00.544
105:  08:41.765   00:09.289
104:  08:32.476   00:00.922
103:  08:31.554   00:03.069
102:  08:28.485   00:02.809
101:  08:25.676   00:13.515
100:  08:12.161   00:01.600
99:  08:10.561   00:02.624
98:  08:07.937   00:02.060
97:  08:05.877   00:02.414
96:  08:03.463   00:00.756
