Secuencia;Código Centro;Centro;Código Distrito Centro;Distrito Centro;Código Distrito;Distrito;Código Barrio;Barrio;Sección Censal;Tramo Edad;Nacionalidad;Sexo;Código Tipo Atención;Tipo Atención;Código Tipo Supuesto Urgente;Tipo Supuesto Urgente;Fecha Cita
1;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0205;DELICIAS;050;50 - 54;Española;H;1;Primera Atención;050;Desprotección socio-familiar;02/01/2020
2;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0205;DELICIAS;062;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;02/01/2020
3;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0201;IMPERIAL;090;60 - 64;Extranjera;H;2;Zona / Historia Social;030;Alojamiento/Vivienda;02/01/2020
4;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0206;PALOS DE MOGUER;064;75 - 79;Española;H;1;Primera Atención;040;Desproteccion social problema salud;02/01/2020
5;99;CSS Teresa de Calcuta;21;BARAJAS;21;BARAJAS;2101;ALAMEDA DE OSUNA;011;40 - 44;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;02/01/2020
6;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1105;PUERTA BONITA;126;80 - 84;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;02/01/2020
7;71;CSS Maravillas;01;CENTRO;01;CENTRO;0104;JUSTICIA;074;55 - 59;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;02/01/2020
8;71;CSS Maravillas;01;CENTRO;01;CENTRO;0106;SOL;121;60 - 64;Española;H;2;Zona / Historia Social;030;Alojamiento/Vivienda;02/01/2020
9;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0702;ARAPILES;028;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;02/01/2020
10;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;076;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;02/01/2020
11;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;044;50 - 54;Española;H;1;Primera Atención;030;Alojamiento/Vivienda;02/01/2020
12;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;067;30 - 34;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;02/01/2020
13;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;001;50 - 54;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;02/01/2020
14;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;044;40 - 44;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;02/01/2020
15;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0805;LA PAZ;041;75 - 79;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;02/01/2020
16;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0803;PEÑAGRANDE;019;55 - 59;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;02/01/2020
